,question,answer,answer_start,is_impossible,context
10,What has been employed  to survey the human liver and identified potentially implicated liver cell-type for viral ingress?,single-cell RNA-seq (scRNA-seq),925,FALSE,"SummaryThe recent pandemic of coronavirus disease 2019 (COVID-19) is caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). COVID-19 was first reported in China (December 2019) and now prevalent in ∼170 countries across the globe. Entry of SARS-CoV-2 into mammalian cells require the binding of viral Spike (S) proteins to the ACE2 (angiotensin converting enzyme 2) receptor. Once entered the S protein is primed by a specialised serine protease, TMPRSS2 (Transmembrane Serine Protease 2) in the host cell. Importantly, beside respiratory symptoms, consistent with other common respiratory virus infection when patients become viraemic, a significant number of COVID-19 patients also develop liver comorbidities. We explored if specific target cell-type in the mammalian liver, could be implicated in disease pathophysiology other than the general deleterious response to cytokine storms. Here we employed single-cell RNA-seq (scRNA-seq) to survey the human liver and identified potentially implicated liver cell-type for viral ingress. We report the co-expression of ACE2 and TMPRSS2 in a TROP2+ liver progenitor population. Importantly, we fail to detect the expression of ACE2 in hepatocyte or any other liver (immune and stromal) cell types. These results indicated that in COVID-19 associated liver dysfunction and cell death, viral infection of TROP2+ progenitors in liver may significantly impaired liver regeneration and could lead to pathology.Highlights- EPCAM+ Liver progenitors co-express ACE2 and TMPRSS2- ACE2 and TMPRSS2 expression is highest in TROP2high progenitors- ACE2 and TMPRSS2 cells express cholangiocyte biased fate markers- ACE2 and TMPRSS2 positive cells are absent in human fetal liver"
11,How much reduction in COVID-19 transmissibility via community-level interventions?,25%,710,FALSE,"Motivated by the rapid upsurge of COVID-19 cases in the United States beginning March 2020, we forecast the disease spread and assess the effectiveness of containment strategies by using an estalished network-driven epidemic dynamic model. Our model is initialized using the daily counts of active and confirmed COVID-19 cases across the US. Based on our model predictions for the March 14-16 timeframe, the national epidemic peak could be expected to arrive by early June, corresponding to a daily active count of ≈ 7% of the US population, if no containment plans are implemented. Epidemic peaks are expected to arrive in the states of Washington and New York by May 21 and 25, respectively. With a modest 25% reduction in COVID-19 transmissibility via community-level interventions, the epidemic progression could be delayed by up to 34 days. Wholesale interstate traffic restriction is ineffective in delaying the epidemic outbreak, but it does desynchronize the arrival of state-wise epidemic peaks, which could potentially alleviate the burden on limited available medical resources. In addition to forecasting the arrival timeline of the state-wise epidemic peaks, we attempt at informing the optimal timing necessary to enforce community-level interventions. Our findings underscore the pressing need for preparedness and timely interventions in states with a large fraction of the vulnerable uninsured and liquid-asset-poverty populations."
12,How many countries outside mainland China that may have under-detected COVID-19 ?,13,1179,FALSE,"Background The emergence of a novel coronavirus (SARS-CoV-2) in Wuhan, China in early December 2019 has caused widespread transmission within the country, with over 1,000 deaths reported to date. Other countries have since reported coronavirus disease 2019 (COVID-19) importation from China, with some experiencing local transmission and even case importation from countries outside China. We aim to estimate the number of cases imported from Wuhan to each country or territory outside mainland China, and with these estimates assess the risk of onward local transmission and the relative potential of case importation between countries outside China. Methods We used the reported number of cases imported from Wuhan and flight data to generate an uncertainty distribution for the estimated number of imported cases from Wuhan to each location outside mainland China. This uncertainty was propagated to quantify the local outbreak risk using a branching process model. A COVID-19 introduction index was derived for each pair of donor and recipient countries, accounting for the local outbreak risk in the donor country and the between-country connectivity. Results We identified 13 countries or territories outside mainland China that may have under-detected COVID-19 importation from Wuhan, such as Thailand and Indonesia. In addition, 16 countries had a local outbreak risk estimate exceeding 50%, including four outside Asia. The COVID-19 introduction index highlights potential locations outside mainland China from which cases may be imported to each recipient country. Conclusions As SARS-CoV-2 continues to spread globally, more epicentres may emerge outside China. Hence, it is important for countries to remain alert for the possibilities of viral introduction from other countries outside China, even before local transmission in a source country becomes known."
13,"Which group of people are more likely to develop severe disease, even die from SARS-CoV-2 infection?",Older males with comorbidities,1899,FALSE,"Background A recently developing pneumonia caused by SARS-CoV-2 was originated in Wuhan, China, and has quickly spread across the world. We reported the clinical characteristics of 82 death cases with COVID-19 in a single center. Methods Clinical data on 82 death cases laboratory-confirmed as SARS-CoV-2 infection were obtained from a Wuhan local hospital′s electronic medical records according to previously designed standardized data collection forms. Findings All patients were local residents of Wuhan, and the great proportion of them were diagnosed as severe illness when admitted. Most of the death cases were male (65.9%). More than half of dead patients were older than 60 years (80.5%) and the median age was 72.5 years. The bulk of death cases had comorbidity (76.8%), including hypertension (56.1%), heart disease (20.7%), diabetes (18.3%), cerebrovascular disease (12.2%), and cancer (7.3%). Respiratory failure remained the leading cause of death (69.5%), following by sepsis syndrome/MOF (28.0%), cardiac failure (14.6%), hemorrhage (6.1%), and renal failure (3.7%). Furthermore, respiratory, cardiac, hemorrhage, hepatic, and renal damage were found in 100%, 89%, 80.5%, 78.0%, and 31.7% of patients, respectively. On the admission, lymphopenia (89.2%), neutrophilia (74.3%), and thrombocytopenia (24.3%) were usually observed. Most patients had a high neutrophil-to-lymphocyte ratio of >5 (94.5%), high systemic immune-inflammation index of >500 (89.2%), increased C-reactive protein level (100%), lactate dehydrogenase (93.2%), and D-dimer (97.1%). A high level of IL-6 (>10 pg/ml) was observed in all detected patients. Median time from initial symptom to death was 15 days (IQR 11-20), and a significant association between aspartate aminotransferase (p=0.002), alanine aminotransferase (p=0.037) and time from initial symptom to death were interestingly observed. Conclusion Older males with comorbidities are more likely to develop severe disease, even die from SARS-CoV-2 infection. Respiratory failure is the main cause of COVID-19, but either virus itself or cytokine release storm mediated damage to other organ including cardiac, renal, hepatic, and hemorrhage should be taken seriously as well."
14,When did the coronavirus disease 2019 (COVID-19) break out_,the end of the year 2019,77,FALSE,"The outbreak of coronavirus disease 2019 (COVID-19) from Wuhan, China, since the end of the year 2019, has infected more than 70,000 people and claimed several thousands of lives ever since worldwide. Although the disease is mainly limited to China to date, there are increased numbers of confirmed patients and increased public concerns of community spreading recently in several countries. Although the virus seldom causes viral exanthem, as professional and consulting dermatologists, we remain actively engaged in the healthcare and in the academic interests for COVID-19."
15,which level of PPE reduce the risk of transmission to anaesthetists who are exposed to mildly symptomatic surgical patients.,Level 3 PPE,1816,FALSE,"Abstract Background The safety of performing spinal anaesthesia for both patients and anaesthetists alike in the presence of active infection with the novel coronavirus disease 2019 (COVID-19) is unclear. Here, we report the clinical characteristics and outcomes for both patients with COVID-19 and the anaesthetists who provided their spinal anaesthesia. Methods Forty-nine patients with radiologically confirmed COVID-19 for Caesarean section or lower-limb surgery undergoing spinal anaesthesia in Zhongnan Hospital, Wuhan, China participated in this retrospective study. Clinical characteristics and perioperative outcomes were recorded. For anaesthesiologists exposed to patients with COVID-19 by providing spinal anaesthesia, the level of personal protective equipment (PPE) used, clinical outcomes (pulmonary CT scans), and confirmed COVID-19 transmission rates (polymerase chain reaction [PCR]) were reviewed. Results Forty-nine patients with COVID-19 requiring supplementary oxygen before surgery had spinal anaesthesia (ropivacaine 0.75%), chiefly for Caesarean section (45/49 [91%]). Spinal anaesthesia was not associated with cardiorespiratory compromise intraoperatively. No patients subsequently developed severe pneumonia. Of 44 anaesthetists, 37 (84.1%) provided spinal anaesthesia using Level 3 PPE. Coronavirus disease 2019 infection was subsequently confirmed by PCR in 5/44 (11.4%) anaesthetists. One (2.7%) of 37 anaesthetists who wore Level 3 PPE developed PCR-confirmed COVID-19 compared with 4/7 (57.1%) anaesthetists who had Level 1 protection in the operating theatre (relative risk reduction: 95.3% [95% confidence intervals: 63.7–99.4]; P<0.01). Conclusions Spinal anaesthesia was delivered safely in patients with active COVID-19 infection, the majority of whom had Caesarean sections. Level 3 PPE appears to reduce the risk of transmission to anaesthetists who are exposed to mildly symptomatic surgical patients."
16, When Italy identify the first infections?,"February 21, 2020,",176,FALSE,"Italy is currently experiencing the largest COVID-19 outbreak in Europe so far, with more than 45,000 confirmed cases. Following the identification of the first infections, on February 21, 2020, national authorities have put in place an increasing number of restrictions aimed at containing the outbreak and delaying the epidemic peak. Since March 9, the whole country is under lockdown. Here we provide the first quantitative assessment of the impact of such measures on the mobility and the social mixing of Italians, through the analysis of a large-scale dataset on de-identified, geo-located smartphone users. With respect to pre-outbreak averages, we estimate a reduction of 50% of the total trips between Italian provinces, following the lockdown. In the same week, the average users' radius of gyration has declined by about 50% and the average degree of the users' proximity network has dropped by 17% at national level."
17,"During the initial spreading of the virus in China, which measurement performed well as a short-term predictor of the daily cases reported in Wuhan City?",the ensemble Kalman filter,181,FALSE,"As an emerging infectious disease, the 2019 coronavirus disease (COVID-19) has developed into a global pandemic. During the initial spreading of the virus in China, we demonstrated the ensemble Kalman filter performed well as a short-term predictor of the daily cases reported in Wuhan City. Second, we used an individual-level network-based model to reconstruct the epidemic dynamics in Hubei Province at its early stage and examine the effectiveness of non-pharmaceutical interventions on the epidemic spreading with various scenarios. Our simulation results show that without continued control measures, the epidemic in Hubei Province could have become persistent. Only by continuing to decrease the infection rate through 1) protective measures and 2) social distancing can the actual epidemic trajectory that happened in Hubei Province be reconstructed in simulation. Finally, we simulate the COVID-19 transmission with non-Markovian processes and show how these models produce different epidemic trajectories, compared to those obtained with Markov processes. Since recent studies show that COVID-19 epidemiological parameters do not follow exponential distributions leading to Markov processes, future works need to focus on non-Markovian models to better capture the COVID-19 spreading trajectories. In addition, shortening the infectious period via early case identification and isolation can slow the epidemic spreading significantly."
18,Which group of people has an extremely large number of ACE2-expressing cells in the lung?,Asian male,916,FALSE,"AbstractA novel coronavirus (2019-nCov) was identified in Wuhan, Hubei Province, China in December of 2019. This new coronavirus has resulted in thousands of cases of lethal disease in China, with additional patients being identified in a rapidly growing number internationally. 2019-nCov was reported to share the same receptor, Angiotensin-converting enzyme 2 (ACE2), with SARS-Cov. Here based on the public database and the state-of-the-art single-cell RNA-Seq technique, we analyzed the ACE2 RNA expression profile in the normal human lungs. The result indicates that the ACE2 virus receptor expression is concentrated in a small population of type II alveolar cells (AT2). Surprisingly, we found that this population of ACE2-expressing AT2 also highly expressed many other genes that positively regulating viral reproduction and transmission. A comparison between eight individual samples demonstrated that the Asian male one has an extremely large number of ACE2-expressing cells in the lung. This study provides a biological background for the epidemic investigation of the 2019-nCov infection disease, and could be informative for future anti-ACE2 therapeutic strategy development."
19,What type of virus is the coronavirus_,an enveloped RNA virus,233,FALSE,"The World Health Organization (WHO) was informed on December 2019 about a coronavirus pneumonia outbreak in Wuhan, Hubei province (China). Subsequently, on March 12, 2020, 125,048 cases and 4,614 deaths were reported. Coronavirus is an enveloped RNA virus, from the genus Betacoronavirus, that is distributed in birds, humans, and other mammals. WHO has named the novel coronavirus disease as COVID-19. More than 80 clinical trials have been launched to test coronavirus treatment, including some drug repurposing or repositioning for COVID-19. Hence, we performed a search in March 2020 of the clinicaltrials.gov database. The eligibility criteria for the retrieved studies were: contain a clinicaltrials.gov base identifier number; describe the number of participants and the period for the study; describe the participants’ clinical conditions; and utilize interventions with medicines already studied or approved for any other disease in patients infected with the novel coronavirus SARS-CoV-2 (2019-nCoV). It is essential to emphasize that this article only captured trials listed in the clinicaltrials.gov database. We identified 24 clinical trials, involving more than 20 medicines, such as human immunoglobulin, interferons, chloroquine, hydroxychloroquine, arbidol, remdesivir, favipiravir, lopinavir, ritonavir, oseltamivir, methylprednisolone, bevacizumab, and traditional Chinese medicines (TCM). Although drug repurposing has some limitations, repositioning clinical trials may represent an attractive strategy because they facilitate the discovery of new classes of medicines; they have lower costs and take less time to reach the market; and there are existing pharmaceutical supply chains for formulation and distribution."
20,What is the purpose of the WHO's newly launched platform?,combat misinformation around COVID-19.,38,FALSE,"WHO's newly launched platform aims to combat misinformation around COVID-19. John Zarocostas reports from WHO is leading the effort to slow the spread of the 2019 coronavirus disease (COVID-19) outbreak. But a global epidemic of misinformation—spreading rapidly through social media platforms and other outlets—poses a serious problem for public health. “We’re not just fighting an epidemic; we’re fighting an infodemic”, said WHO Director-General Tedros Adhanom Ghebreyesus at the Munich Security Conference on Feb 15. Immediately after COVID-19 was declared a Public Health Emergency of International Concern, WHO's risk communication team launched a new information platform called WHO Information Network for Epidemics (EPI-WIN), with the aim of using a series of amplifiers to share tailored information with specific target groups. Sylvie Briand, director of Infectious Hazards Management at WHO's Health Emergencies Programme and architect of WHO's strategy to counter the infodemic risk, told The Lancet, “We know that every outbreak will be accompanied by a kind of tsunami of information, but also within this information you always have misinformation, rumours, etc. We know that even in the Middle Ages there was this phenomenon”. “But the difference now with social media is that this phenomenon is amplified, it goes faster and further, like the viruses that travel with people and go faster and further. So it is a new challenge, and the challenge is the [timing] because you need to be faster if you want to fill the void…What is at stake during an outbreak is making sure people will do the right thing to control the disease or to mitigate its impact. So it is not only information to make sure people are informed; it is also making sure people are informed to act appropriately.” About 20 staff and some consultants are involved in WHO's communications teams globally, at any given time. This includes social media personnel at each of WHO's six regional offices, risk communications consultants, and WHO communications officers."
21,Which vius have the homology with CoViD-19?,SARS and MERS-CoV,197,FALSE,"Abstract The Coronavirus-associated disease, that was first identified in 2019 in China (CoViD-19), is a pandemic caused by a bat-derived beta-coronavirus, named SARS-CoV2. It shares homology with SARS and MERS-CoV, responsible for past outbreaks in China and in Middle East. SARS-CoV2 spread from China where the first infections were described in December 2019 and is responsible for the respiratory symptoms that can lead to acute respiratory distress syndrome. A cytokine storm has been shown in patients who develop fatal complications, as observed in past coronavirus infections. The management includes ventilatory support and broad-spectrum antiviral drugs, empirically utilized, as a targeted therapy and vaccines have not been developed. Based upon our limited knowledge on the pathogenesis of CoViD-19, a potential role of some anti-rheumatic drugs may be hypothesized, acting as direct antivirals or targeting host immune response. Antimalarial drugs, commonly used in rheumatology, may alter the lysosomal proteases that mediates the viral entry into the cell and have demonstrated efficacy in improving the infection. Anti-IL-1 and anti-IL-6 may interfere with the cytokine storm in severe cases and use of tocilizumab has shown good outcomes in a small cohort. Baricitinib has both antiviral and anti-inflammatory properties. Checkpoints inhibitors such as anti-CD200 and anti-PD1 could have a role in the treatment of CoViD-19. Rheumatic disease patients taking immunosuppressive drugs should be recommended to maintain the chronic therapy, prevent infection by avoiding social contacts and pausing immunosuppressants in case of infection. National and international registries are being created to collect data on rheumatic patients with CoViD-19."
22,What are guidances the paper provides?,"managing invasive and non-invasive electrophysiology procedures, clinic visits and cardiac device interrogations",571,FALSE,"Abstract Covid-19 is a global pandemic that is wreaking havoc with the health and economy of much of human civilization. Electrophysiologists have been impacted personally and professionally by this global catastrophe. In this joint document from representatives of the HRS, ACC and AHA we identify the potential risks of exposure to patients, allied health care staff, industry representatives and hospital administrators. We describe the impact of COVID-19 on cardiac arrhythmias and methods of triage based on acuity and patient comorbidities. We provide guidance for managing invasive and non-invasive electrophysiology procedures, clinic visits and cardiac device interrogations. We discuss resource conservation and the role of tele-medicine in remote patient care along with management strategies for affected patients."
23,Which medicine could counteract majority of the immunopathological manifestations of the COVID-19 infection?,Metronidazole,814,FALSE,"Coronavirus disease 2019 or COVID-19 has rapidly emerged as a global pandemic. This viral infection involves the upper respiratory tract and could lead to severe pneumonia with respiratory distress or even death. Certain studies have found higher initial plasma levels of most pro-inflammatory cytokines during the course of the infection. In this context, both in vitro and in vivo studies have revealed that metronidazole could decrease the levels of several cytokines, which are known to increase during the COVID-19 infection, including interleukin (IL)8, IL6, IL1B, tumor necrosis factor (TNF)α, IL12, IL1α, and interferon (IFN)γ, as well as the levels of C-reactive protein (CRP) and neutrophil count. Furthermore, the drug could decrease neutrophil-generated reactive oxygen species during inflammation. Metronidazole could counteract majority of the immunopathological manifestations of the COVID-19 infection. Therefore, studies with a large sample size are required to determine the efficacy of metronidazole in the treatment of COVID-19 infection."
