,question,answer,answer_start,is_impossible,abstract,,,,,,,,,,,,,,,,,,,,,,
32777,What does SARS-CoV utilize for viral entry?,ACE2 and TMPRSS2 host molecules ,145,FALSE,"ABSTRACTIn December 2019, SARS-CoV-2 emerged causing the COVID-19 pandemic. SARS-CoV, the agent responsible for the 2003 SARS outbreak, utilizes ACE2 and TMPRSS2 host molecules for viral entry. ACE2 and TMPRSS2 have recently been implicated in SARS-CoV-2 viral infection. Additional host molecules including ADAM17, cathepsin L, CD147, and GRP78 may also function as receptors for SARS-CoV-2.To determine the expression and in situ localization of candidate SARS-CoV-2 receptors in the respiratory mucosa, we analyzed gene expression datasets from airway epithelial cells of 515 healthy subjects, gene promoter activity analysis using the FANTOM5 dataset containing 120 distinct sample types, single cell RNA sequencing (scRNAseq) of 10 healthy subjects, immunoblots on multiple airway epithelial cell types, and immunohistochemistry on 98 human lung samples.We demonstrate absent to low ACE2 promoter activity in a variety of lung epithelial cell samples and low ACE2 gene expression in both microarray and scRNAseq datasets of epithelial cell populations. Consistent with gene expression, rare ACE2 protein expression was observed in the airway epithelium and alveoli of human lung. We present confirmatory evidence for the presence of TMPRSS2, CD147, and GRP78 protein in vitro in airway epithelial cells and confirm broad in situ protein expression of CD147 in the respiratory mucosa.Collectively, our data suggest the presence of a mechanism dynamically regulating ACE2 expression in human lung, perhaps in periods of SARS-CoV-2 infection, and also suggest that alternate receptors for SARS-CoV-2 exist to facilitate initial host cell infection.",,,,,,,,,,,,,,,,,,,,,,
31422,What has this outbreak been tentatively associated with?,"a seafood market in Wuhan, China",191,FALSE,"AbstractThe ongoing outbreak of viral pneumonia in China and beyond is associated with a novel coronavirus, provisionally termed 2019-nCoV. This outbreak has been tentatively associated with a seafood market in Wuhan, China, where the sale of wild animals may be the source of zoonotic infection. Although bats are likely reservoir hosts for 2019-nCoV, the identity of any intermediate host facilitating transfer to humans is unknown. Here, we report the identification of 2019-nCoV related coronaviruses in pangolins (Manis javanica) seized in anti-smuggling operations in southern China. Metagenomic sequencing identified pangolin associated CoVs that belong to two sub-lineages of 2019-nCoV related coronaviruses, including one very closely related to 2019-nCoV in the receptor-binding domain. The discovery of multiple lineages of pangolin coronavirus and their similarity to 2019-nCoV suggests that pangolins should be considered as possible intermediate hosts for this novel human virus and should be removed from wet markets to prevent zoonotic transmission.",,,,,,,,,,,,,,,,,,,,,,
32756,How many US hospital workers might get infected from COVID-19?,53640,1017,FALSE,"Objective: We estimated that how many hospital workers in the United States (US) might get infected or die in the COVID-19 pandemic. We also estimated the impact of personal protective equipment (PPE) and age restrictions on these estimates. Methods: Our secondary analyses estimated hospital worker infections in the US based on health worker infection and death rates per 100 deaths from COVID-19 in Hubei and Italy. We used Monte Carlo simulations to compute point estimates with 95% confidence intervals for hospital worker infections in the US based on the two scenarios. We computed potential decrease in infections if the PPE were available only to those involved in direct care of COVID-19 patients (~ 30%) and if workers aged â‰¥ 60 years are restricted from patient care. Estimates were adjusted for hospital workers per bed in the US compared to China and Italy. Results: The hospital worker infections per 100 deaths were 108.2 in Hubei and 94.1 in Italy. Based on Hubei scenario, we estimated that about 53,640 US hospital workers (95% CI: 43,160 to 62,251) might get infected from COVID-19. The Italian scenario suggested 53,097 US hospital worker (95% CI: 37,133 to 69,003) might get infected during the pandemic. Availability of PPE to high-risk workers could reduce counts to 28,100 (95% CI: 23,048 to 33,242) considering Hubei and to 28,354 (95% CI: 19,829 to 36,848) considering Italy. Restricting hospital workers aged â‰¥ 60 years from direct patient care reduced counts to 1,985 (95% CI: 1,627 to 2,347) considering Hubei and to 2,002 (95% CI: 1,400 to 2,602) considering the Italian scenario. Conclusion: We estimated significant burden of illness due to COVID-19 if no strategies are adopted. Making PPE available to all hospital workers and reducing exposure of hospital workers above the age of 60 could have significant reductions in hospital worker infections.",,,,,,,,,,,,,,,,,,,,,,
32779,What may increase the susceptibility to SARS-CoV-2 infection and replication?,lung senescence ,163,FALSE,"AbstractCOVID-19 is prevalent in the elderly. Old individuals are more likely to develop pneumonia and respiratory failure due to alveolar damage, suggesting that lung senescence may increase the susceptibility to SARS-CoV-2 infection and replication. Considering that human coronavirus (HCoVs; SARS-CoV-2 and SARS-CoV) require host cellular factors for infection and replication, we analyzed Genotype-Tissue Expression (GTEx) data to test whether lung aging is associated with transcriptional changes in human protein-coding genes that potentially interact with these viruses. We found decreased expression of the gene tribbles homolog 3 (TRIB3) during aging in male individuals, and its protein was predicted to interact with HCoVs nucleocapsid protein and RNA-dependent RNA polymerase. Using publicly available lung single-cell data, we found TRIB3 expressed mainly in alveolar epithelial cells that express SARS-CoV-2 receptor ACE2. Functional enrichment analysis of age-related genes, in common with SARS-CoV-induced perturbations, revealed genes associated with the mitotic cell cycle and surfactant metabolism. Given that TRIB3 was previously reported to decrease virus infection and replication, the decreased expression of TRIB3 in aged lungs may help explain why older male patients are related to more severe cases of the COVID-19. Thus, drugs that stimulate TRIB3 expression should be evaluated as a potential therapy for the disease.",,,,,,,,,,,,,,,,,,,,,,
32541,Where were most studies conducted in?,Asia,1220,FALSE,"Objectives: To examine the impact of providing healthcare during or after health emergencies caused by viral epidemic outbreaks on healthcare workers (HCWs) mental health, and to assess the available evidence base regarding interventions to reduce such impact. Design: Systematic rapid review and meta-analysis. Data sources: MEDLINE, Embase, and PsycINFO, searched up to 23 March 2020. Method: We selected observational and experimental studies examining the impact on mental health of epidemic outbreaks on HCWs. Titles and abstracts were screened by one reviewer, and full texts were evaluated by two reviewers independently. We extracted study characteristics, symptoms, prevalence of mental health problems, risk factors, mental health interventions, and its impact. We assessed risk of bias for each individual study. We conducted a narrative and tabulated synthesis of the results. We pooled data using random-effects meta-analyses to estimate the prevalence of specific mental health problems. We followed the GRADE approach to assess the certainty in the evidence. Results: We included 61 studies (56 examining impact on mental health and five about interventions to reduce such impact). Most were conducted in Asia (59%), examined the impact of the SARS epidemic (69%), and took place in the hospital setting (79%). The pooled prevalence was higher for anxiety (45%, 95% CI 21 to 69%; 6 studies, 3,373 participants), followed by depression (38%, 95% CI 15 to 60%; 7 studies, 3,636 participants), acute stress disorder (31%, 95% CI 0 to 82%, 3 studies , 2,587 participants), burnout (29%, 95% CI 25 to 32%; 3 studies; 1,168 participants) and post-traumatic stress disorder (19%, 95% CI 11 to 26%, 10 studies, 3,121 participants). Based on 37 studies, we identified a broad number of risk factors for these conditions, including sociodemographic: younger age and female gender; social factors: lack of social support, social rejection or isolation, stigmatization; and occupational: working in a high risk environment (frontline staff), specific occupational roles (e.g., nurse), and lower levels of specialized training, preparedness and job experience. Two out of five interventions identified were educational aimed to prevent mental health problems by increasing HCWs resilience. These interventions showed positive effects in confidence in support and training, pandemic self-efficacy and interpersonal problems solving (very low certainty). One multifaceted intervention (based on training and organisational changes) targeted at hospital nurses during the SARS epidemic produced statistically significant improvements in anxiety, depression, and sleep quality (very low certainty). The impact of the two remaining interventions (multifaceted and based on psychotherapy provision) was unreported. Conclusion: The prevalence of anxiety, depression, acute and post-traumatic stress disorder, and burnout, was high both during and after the outbreaks. These problems not only have a long-lasting effect on the mental health of HCWs, but also hinder the urgent response to the current COVID-19 pandemic, by jeopardising attention and decision-making. Governments and healthcare authorities should take urgent actions to protect the mental health of HCWs. In light of the limited evidence regarding the impact of interventions to tackle mental health problems in HCWs, the risk factors identified in this study represent important targets for future interventions.",,,,,,,,,,,,,,,,,,,,,,
32249,What can be adapted for surgical procedures that may be AGMPs?,Modifications of the clear plastics,371,FALSE,"Protection of frontline HCPs is paramount. However, PPE is a limited resource and often requires providers to be adaptive and resourceful in a crisis. The inexpensive and simple method of using clear drapes during extubation (and possibly intubation) of COVID-19 patients may be considered by frontline HCPs and infection control specialists as an additional precaution. Modifications of the clear plastics can be adapted for surgical procedures that may be AGMPs.",,,,,,,,,,,,,,,,,,,,,,
31130,How many patients out of seven patients required supportive care with intravenous hydration?,two,495,FALSE,"Abstract As the worldwide incidence of coronavirus disease 2019 (COVID-19) rapidly increases, there remains limited information on COVID-19 in pregnancy. We present here our experience with an initial seven cases of confirmed COVID-19 in pregnancy presenting to a single large New York City tertiary care hospital. Five of the seven patients presented with symptoms of COVID-19, including cough, myalgias, fevers, chest pain, and headache. Four patients were admitted to the hospital, including two who required supportive care with intravenous hydration. Most notably, the other two admitted patients were asymptomatic on admission to the hospital, presenting instead for obstetrically-indicated labor inductions; both of these patients became symptomatic post-partum, each requiring intensive care unit admission.",,,,,,,,,,,,,,,,,,,,,,
31898,How many patients has the recent pandemic of COVID-19 involved?,tens of thousands of patients,45,FALSE,"The recent pandemic of COVID-19 has involved tens of thousands of patients in numerous countries and the causative virus, SARS COV-2 is highly transmissible. Molecular diagnostic tools are central to containment of the virus and initiating proper clinical care. Rapidity, user-friendliness, and high degree of sensitivity and specificity are desirable features of diagnostic assays for screening purposes. Herein, we present a single step reverse transcriptase LAMP assay (RT-LAMP), which can detect up to 500 viral copies in 30 minutes. We challenged our assay with a large number of clinical samples collected from 47 confirmed cases and 213 negative patients. Our LAMP assay showed a high degree of sensitivity and specificity compared to two commercialized qRT-PCR assay as gold standard. We present a rapid RT-LAMP assay that could extend the capacity of laboratories to process 2.5 more clinical samples relative to qRT-PCR and potentially could be used for high-throughput screening purposes.",,,,,,,,,,,,,,,,,,,,,,
31334,How did we identify a set of B cell and T cell epitopes derived from the spike (S) and nucleocapsid (N) proteins that map identically to SARS-CoV-2 proteins?,By screening the experimentally-determined SARS-CoV-derived B cell and T cell epitopes in the immunogenic structural proteins of SARS-CoV,522,FALSE,"AbstractThe beginning of 2020 has seen the emergence of COVID-19 outbreak caused by a novel coronavirus, Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2). There is an imminent need to better understand this new virus and to develop ways to control its spread. In this study, we sought to gain insights for vaccine design against SARS-CoV-2 by considering the high genetic similarity between SARS-CoV-2 and SARS-CoV, which caused the outbreak in 2003, and leveraging existing immunological studies of SARS-CoV. By screening the experimentally-determined SARS-CoV-derived B cell and T cell epitopes in the immunogenic structural proteins of SARS-CoV, we identified a set of B cell and T cell epitopes derived from the spike (S) and nucleocapsid (N) proteins that map identically to SARS-CoV-2 proteins. As no mutation has been observed in these identified epitopes among the available SARS-CoV-2 sequences (as of 9 February 2020), immune targeting of these epitopes may potentially offer protection against this novel virus. For the T cell epitopes, we performed a population coverage analysis of the associated MHC alleles and proposed a set of epitopes that is estimated to provide broad coverage globally, as well as in China. Our findings provide a screened set of epitopes that can help guide experimental efforts towards the development of vaccines against SARS-CoV-2.",,,,,,,,,,,,,,,,,,,,,,
31926,What could this model provide?,more information for government's future decisions on COVID-19 outbreak control,1775,FALSE,"The novel coronavirus (SARS-CoV-2/ 2019-nCoV) identified in Wuhan, China, in December 2019 has caused great damage to public health and economy worldwide with over 140,000 infected cases up to date. Previous research has suggested an involvement of meteorological conditions in the spread of droplet-mediated viral diseases, such as influenza. However, as for the recent novel coronavirus, few studies have discussed systematically about the role of daily weather in the epidemic transmission of the virus. Here, we examine the relationships of meteorological variables with the severity of the outbreak on a worldwide scale. The confirmed case counts, which indicates the severity of COVID-19 spread, and four meteorological variables, i.e., air temperature, relative humidity, wind speed, and visibility, were collected daily between January 20 and March 11 (52 days) for 430 cities and districts all over China, 21 cities/ provinces in Italy, 21 cities/ provinces in Japan, and 51 other countries around the world. Four different time delays of weather (on the day, 3 days ago, 7 days ago, and 14 days ago) as to the epidemic situation were taken for modeling and we finally chose the weather two weeks ago to model against the daily epidemic situation as its correlated with the outbreak best. Taken Chinese cities as a discovery dataset, it was suggested that temperature, wind speed, and relative humidity combined together could best predict the epidemic situation. The meteorological model could well predict the outbreak around the world with a high correlation (r2>0.6) with the real data. Using this model, we further predicted the possible epidemic situation in the future 12 days in several high-latitude cities with potential outbreak. This model could provide more information for government's future decisions on COVID-19 outbreak control.",,,,,,,,,,,,,,,,,,,,,,
32296,What does the website corona-lab.ch provide?,an interactive simulation tool based on the presented model,2215,FALSE,"Relevant pandemic-spread scenario simulations provide guiding principles for containment and mitigation policy developments. Here we devise a simple model to predict the effectiveness of different mitigation strategies. The model consists of a set of simple differential equations considering the population size, reported and unreported infections, reported and unreported recoveries and the number of Covid-19-inflicted deaths. For simplification, we assume that Covid-19 survivors are immune (e.g. mutations are not considered) and that the virus can only be passed on by persons with undetected infections. While the latter assumption is a simplification (it is neglected that e.g. hospital staff may be infected by detected patients with symptoms), it was introduced here to keep the model as simple as possible. Moreover, the current version of the model does not account for age-dependent differences in the death rates, but considers higher mortality rates due to temporary shortage of intensive care units. Some of the model parameters have been fitted to the reported cases outside of China1 from January 22 to March 12 of the 2020 Covid-19 pandemic. The other parameters were chosen in a plausible range to the best of our knowledge. We compared infection rates, the total number of people getting infected and the number of deaths in six different scenarios. Social distancing or increased testing can contain or drastically reduce the infections and the predicted number of deaths when compared to a situation without mitigation. We find that mass-testing alone and subsequent isolation of detected cases can be an effective mitigation strategy, alone and in combination with social distancing. However, unless one assumes that the virus can be globally defeated by reducing the number of infected persons to zero, testing must be upheld, albeit at reduced intensity, to prevent subsequent waves of infection. The model suggests that testing strategies can be equally effective as social distancing, though at much lower economical costs. We discuss how our mathematical model may help to devise an optimal mix of mitigation strategies against the Covid-19 pandemic. The website corona-lab.ch provides an interactive simulation tool based on the presented model.",,,,,,,,,,,,,,,,,,,,,,
32979,"Which parameters’ impact has been emphasized on influencing the spread of the virus?
",climatic parameters ,413,FALSE,"The rapid outbreak of the new Coronavirus (COVID-19) pandemic and the spread of the virus worldwide, especially in the Northern Hemisphere, have prompted various investigations about the impact of environmental factors on the rate of development of this epidemic. Different studies have called the attention to various parameters that may have influenced the spread of the virus, and in particular, the impact of climatic parameters has been emphasized. The main purpose of this study is to investigate the correlation between the average daily temperature and the rate of coronavirus epidemic growth in the infected regions. The main hypothesis object of our research is that between regions exhibiting a significant difference in the mean daily temperature, a significant difference is also observed in the average cumulative daily rate of confirmed cases, and that this does not happen if there is no significant difference in mean daily temperature. To test this research hypothesis, we carried on the case study of three regions in each of five countries and analyzed the correlation through F-test, and Independent-Samples T-Test. In all five selected countries, we found that when there is a significant difference in the daily mean temperature between two regions of a country, a significant difference exists also in the average cumulative daily rate of confirmed cases. Conversely, if there are no significant differences in the mean daily temperature of two regions in the same country, no significant difference is observed in the average cumulative daily rate of confirmed cases for these regions.",,,,,,,,,,,,,,,,,,,,,,
33432,What are global health crises?,information crises,76,FALSE,"Abstract In this opinion paper, we argue that global health crises are also information crises. Using as an example the coronavirus disease 2019 (COVID-19) epidemic, we (a) examine challenges associated with what we term ?global information crises?; (b) recommend changes needed for the field of information science to play a leading role in such crises; and (c) propose actionable items for short- and long-term research, education, and practice in information science.",,,,,,,,,,,,,,,,,,,,,,
