question,answer,answer_start,is_impossible,context
Who are the majority of patients with laboratory-confirmed 2019-nCoV infection or suspected infection?,female,1163,FALSE,"Objectives The aim of the present study was to prevent cross-infection in the operating room during emergency procedures for patients with confirmed or suspected 2019 novel coronavirus (2019-nCoV) by following anesthesia management protocols, and to document clinical- and anesthesia-related characteristics of these patients. Design This was a retrospective, multicenter clinical study. Setting This study used a multicenter dataset from 4 hospitals in Wuhan, China. Participants Patients and health care providers with confirmed or suspected 2019-nCoV from January 23 to 31, 2020, at the Wuhan Union Hospital, the Wuhan Children's Hospital, The Central Hospital of Wuhan, and the Wuhan Fourth Hospital in Wuhan, China. Interventions Anesthetic management and infection control guidelines for emergency procedures for patients with suspected 2019-nCoV were drafted and applied in 4 hospitals in Wuhan. Measurements and Main Results Cross-infection in the operating rooms of the 4 hospitals was effectively reduced by implementing the new measures and procedures. The majority of patients with laboratory-confirmed 2019-nCoV infection or suspected infection were female (23 [62%] of 37), and the mean age was 41.0 years old (standard deviation 19.6; range 4-78). 10 (27%) patients had chronic medical illnesses, including 4 (11%) with diabetes, 8 (22%) with hypertension, and 8 (22%) with digestive system disease. Twenty-five (68%) patients presented with lymphopenia, and 23 (62%) patients exhibited multiple mottling and ground-glass opacity on computed tomography scanning. Conclusions The present study indicates that COVID 19â€“specific guidelines for emergency procedures for patients with confirmed or suspected 2019-nCoV may effectively prevent cross-infection in the operating room. Most patients with confirmed or suspected COVID 19 presented with fever and dry cough and demonstrated bilateral multiple mottling and ground-glass opacity on chest computed tomography scans."
What is the mean age of patients?,41.0,1209,FALSE,"Objectives The aim of the present study was to prevent cross-infection in the operating room during emergency procedures for patients with confirmed or suspected 2019 novel coronavirus (2019-nCoV) by following anesthesia management protocols, and to document clinical- and anesthesia-related characteristics of these patients. Design This was a retrospective, multicenter clinical study. Setting This study used a multicenter dataset from 4 hospitals in Wuhan, China. Participants Patients and health care providers with confirmed or suspected 2019-nCoV from January 23 to 31, 2020, at the Wuhan Union Hospital, the Wuhan Children's Hospital, The Central Hospital of Wuhan, and the Wuhan Fourth Hospital in Wuhan, China. Interventions Anesthetic management and infection control guidelines for emergency procedures for patients with suspected 2019-nCoV were drafted and applied in 4 hospitals in Wuhan. Measurements and Main Results Cross-infection in the operating rooms of the 4 hospitals was effectively reduced by implementing the new measures and procedures. The majority of patients with laboratory-confirmed 2019-nCoV infection or suspected infection were female (23 [62%] of 37), and the mean age was 41.0 years old (standard deviation 19.6; range 4-78). 10 (27%) patients had chronic medical illnesses, including 4 (11%) with diabetes, 8 (22%) with hypertension, and 8 (22%) with digestive system disease. Twenty-five (68%) patients presented with lymphopenia, and 23 (62%) patients exhibited multiple mottling and ground-glass opacity on computed tomography scanning. Conclusions The present study indicates that COVID 19â€“specific guidelines for emergency procedures for patients with confirmed or suspected 2019-nCoV may effectively prevent cross-infection in the operating room. Most patients with confirmed or suspected COVID 19 presented with fever and dry cough and demonstrated bilateral multiple mottling and ground-glass opacity on chest computed tomography scans."
What factors contribute to the relatively low CFRs?,"the early implementation of public health interventions including widespread testing, social distancing, and delayed school openings in Korea",1043,FALSE,"Background: In Korea, a total of 8,799 confirmed cases of COVID-19 including 102 deaths have been recorded as of Mar 21, 2020. The time-delay adjusted case fatality risk of COVID-19 in Korea is yet to be estimated. Methods: We obtained the daily series of confirmed cases and deaths in Korea reported prior to March 21,2020. Using statistical methods, we estimated the time-delay adjusted risk for death from COVID-19 in the city of Daegu, Gyeongsangbuk-do, other regions in Korea, as well as for the entire country. Results: Our model-based crude CFR fitted the observed data well throughout the course of the epidemic except for the very early stage in Gyeongsangbuk-do, partially due to the reporting delay. Our estimates of the risk for death in Gyeongsangbuk-do reached 2.4% (95% CrI: 1.6-3.4%), 1.3% (95% CrI: 1.0-1.6%) in Daegu and 0.7% (95% CrI: 0.3-1.4%) in other regions, whereas the national estimate of the risk for death was estimated at 1.4% (95% CrI: 1.2-1.7%) in Korea. Conclusions: The relatively low CFRs are associated with the early implementation of public health interventions including widespread testing, social distancing, and delayed school openings in Korea. Geographic differences in CFR are likely influenced by clusters of nosocomial transmission."
What specialty societies have issued recommendations to consider canceling elective surgeries?,"the US surgeon general, Centers for Disease Control and Prevention, and several specialty societies",96,FALSE,"Background: As the number of suspected and confirmed COVID19 cases in the US continues to rise, the US surgeon general, Centers for Disease Control and Prevention, and several specialty societies have issued recommendations to consider canceling elective surgeries. However, these recommendations have also faced controversy and opposition. Objective: The goal of this study is to provide a quantitative analysis and model for preventable COVID19 infections from elective outpatient or ambulatory surgery cases, which can also be adapted to analyze COVID19 transmission in other healthcare settings. Furthermore, given the controversy over the appropriate handling of elective surgical cases during this pandemic, we hope that our results may have a positive impact on health policy and public health. Methods: Using previously published information on elective ambulatory or outpatient surgical procedures and publicly available data on COVID19 infections in the US and on the Diamond Princess cruise ship, we calculated a transmission rate and generated a mathematical model to predict a lower bound for the number of healthcare-acquired COVID19 infections that could be prevented by canceling or postponing elective outpatient surgeries in Washington state. Results: Our model predicts that over the course of 30 days, at least 2445 preventable patient infections and at least 1557 preventable healthcare worker (HCW) infections would occur in WA state alone if elective outpatient procedures were to continue as usual. The majority of these infections are caused by transmission from HCW who became infected at work. Conclusion: Given the large numbers of COVID19 infections that could be prevented by canceling elective outpatient surgeries, our findings support the recommendations of the US Surgeon General, CDC, American College of Surgeons (ACS), American Society of Anesthesiologists (ASA), and Anesthesia Patient Safety Foundation (APSF) to consider rescheduling or postponing elective surgeries until the COVID19 pandemic is under better control in the US."
What did WHO interim guidelines recommend offering to eligible patients with acute respiratory distress syndrome (ARDS) related to COVID-19?,extracorporeal membrane oxygenation (ECMO),50,FALSE,"Summary WHO interim guidelines recommend offering extracorporeal membrane oxygenation (ECMO) to eligible patients with acute respiratory distress syndrome (ARDS) related to coronavirus disease 2019 (COVID-19). The number of patients with COVID-19 infection who might develop severe ARDS that is refractory to maximal medical management and require this level of support is currently unknown. Available evidence from similar patient populations suggests that carefully selected patients with severe ARDS who do not benefit from conventional treatment might be successfully supported with venovenous ECMO. The need for ECMO is relatively low and its use is mostly restricted to specialised centres globally. Providing complex therapies such as ECMO during outbreaks of emerging infectious diseases has unique challenges. Careful planning, judicious resource allocation, and training of personnel to provide complex therapeutic interventions while adhering to strict infection control measures are all crucial components of an ECMO action plan. ECMO can be initiated in specialist centres, or patients can receive ECMO during transportation from a centre that is not specialised for this procedure to an expert ECMO centre. Ensuring that systems enable safe and coordinated movement of critically ill patients, staff, and equipment is important to improve ECMO access. ECMO preparedness for the COVID-19 pandemic is important in view of the high transmission rate of the virus and respiratory-related mortality."
What kind of people did the CDC initially limited access to testing to?,a narrow group of individuals with known exposure,461,FALSE,"Controversies over diagnostic testing have dominated US headlines about severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the novel coronavirus responsible for coronavirus disease 2019 (COVID-19). Technical challenges with the first test developed by the Centers for Disease Control and Prevention (CDC) left the nation with minimal diagnostic capacity during the first few weeks of the epidemic. The CDC also initially limited access to testing to a narrow group of individuals with known exposure. The delayed discovery of a case of COVID-19 in California, followed quickly by evidence of community transmission in multiple states, revealed the shortcomings of this strategy."
What tests might not be available in an emergency setting?,microbiological tests such as real-time polymerase chain reaction (RT-PCR) or sequencing,60,FALSE,"The standard of reference for confirming COVID-19 relies on microbiological tests such as real-time polymerase chain reaction (RT-PCR) or sequencing. However, these tests might not be available in an emergency setting. Computed tomography (CT) can be used as an important complement for the diagnosis of COVID-19 pneumonia in the current epidemic context. In this review, we present the typical CT features of COVID-19 pneumonia and discuss the main differential diagnosis."
What can be used as an important complement for the diagnosis of COVID-19.,Computed tomography (CT),219,FALSE,"The standard of reference for confirming COVID-19 relies on microbiological tests such as real-time polymerase chain reaction (RT-PCR) or sequencing. However, these tests might not be available in an emergency setting. Computed tomography (CT) can be used as an important complement for the diagnosis of COVID-19 pneumonia in the current epidemic context. In this review, we present the typical CT features of COVID-19 pneumonia and discuss the main differential diagnosis."
How doew SARS-CoV-2 infect cells according to previous studies?,binding angiotensin-converting enzyme 2 (ACE2),273,FALSE,"The ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) started in the end of 2019 in China has triggered a global public health crisis. Previous studies have shown that SARS-CoV-2 infects cells by binding angiotensin-converting enzyme 2 (ACE2), which is the same as SARS-CoV. The expression and distribution of ACE2 in the pancreas are unknown. At the same time, the injury of pancreas after SARS-CoV-2 infection has not been concerned. Here, we collected public datasets (bulk RNA-seq and single-cell RNA-seq) to indicate the expression and the distribution of ACE2 in pancreas (in both exocrine glands and islets). And further, clinical data including mild and severe patients with COVID-19 demonstrated there existed mild pancreatitis. In the 67 severe cases, 11 patients (16.41%) showed elevated levels of both amylase and lipase, and 5 patients (7.46%) showed imaging alterations. Only one patient (1.85%) showed elevated levels of both amylase and lipase in 54 mild cases, without imaging changes. Our study revealed the phenomenon and possible cause of mild pancreatic injury in patients with COVID-19. This suggests that pancreatitis after SARS-CoV-2 infection should also be paid attention in clinical work."
how many patients showed elevated levels of both amylase and lipase?,11,839,FALSE,"The ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) started in the end of 2019 in China has triggered a global public health crisis. Previous studies have shown that SARS-CoV-2 infects cells by binding angiotensin-converting enzyme 2 (ACE2), which is the same as SARS-CoV. The expression and distribution of ACE2 in the pancreas are unknown. At the same time, the injury of pancreas after SARS-CoV-2 infection has not been concerned. Here, we collected public datasets (bulk RNA-seq and single-cell RNA-seq) to indicate the expression and the distribution of ACE2 in pancreas (in both exocrine glands and islets). And further, clinical data including mild and severe patients with COVID-19 demonstrated there existed mild pancreatitis. In the 67 severe cases, 11 patients (16.41%) showed elevated levels of both amylase and lipase, and 5 patients (7.46%) showed imaging alterations. Only one patient (1.85%) showed elevated levels of both amylase and lipase in 54 mild cases, without imaging changes. Our study revealed the phenomenon and possible cause of mild pancreatic injury in patients with COVID-19. This suggests that pancreatitis after SARS-CoV-2 infection should also be paid attention in clinical work."
What virus was linked to preference for cool and dry conditions?,SARS-CoV ,617,FALSE,"As new cases of SARS CoV-2 (aka 2019-nCoV) Coronavirus are confirmed throughout the world and millions of people are being put into quarantine, hit the developing world, such as sub-Saharan Africa, potentially leading to a global human calamity. It is still early days, but using existing data we develop a large ensemble of ecological niche models that project monthly variation in climate suitability of SARS-CoV-2 Coronavirus throughout a typical climatological year. The current spread suggests a degree of climate determination with Coronavirus displaying preference for cool and dry conditions. The predecessor SARS-CoV was linked to similar climate conditions. Should the spread of SARS CoV-2 continue to follow current trends, a worst-case scenario of synchronous global pandemic is improbable. More probable is the emergence of asynchronous seasonal global outbreaks much like other respiratory diseases. People in temperate warm and cold climates are more vulnerable. Those in arid climates follow next in vulnerability, while the disease will likely marginally affect the tropics. Our projections minimize uncertainties related with spread of SARS CoV-2, providing critical information for anticipating the adequate social, economic and political responses."
Where did 2019 Novel Coronavirus first reported?,"Wuhan City, Hubei Province, China",137,FALSE,"2019 Novel Coronavirus (2019-nCoV) is an emerging infectious disease closely related to MERS-CoV and SARS-CoV that was first reported in Wuhan City, Hubei Province, China in December 2019. As of January 2020, cases of 2019-nCoV are continuing to be reported in other Eastern Asian countries as well as in the United States, Europe, Australia, and numerous other countries. An unusually high volume of domestic and international travel corresponding to the beginning of the 2020 Chinese New Year complicated initial identification and containment of infected persons. Due to the rapidly rising number of cases and reported deaths, all countries should be considered at risk of imported 2019-nCoV. Therefore, it is essential for prehospital, clinic, and emergency department personnel to be able to rapidly assess 2019-nCoV risk and take immediate actions if indicated. The Identify-Isolate-Inform (3I) Tool, originally conceived for the initial detection and management of Ebola virus and later adjusted for other infectious agents, can be adapted for any emerging infectious disease. This paper reports a modification of the 3I Tool for use in the initial detection and management of patients under investigation for 2019-nCoV. After initial assessment for symptoms and epidemiological risk factors, including travel to affected areas and exposure to confirmed 2019-nCoV patients within 14 days, patients are classified in a risk-stratified system. Upon confirmation of a suspected 2019-nCoV case, affected persons must immediately be placed in airborne infection isolation and the appropriate public health agencies notified. This modified 3I Tool will assist emergency and primary care clinicians, as well as out-of-hospital providers, in effectively managing persons with suspected or confirmed 2019-nCoV."
what tool can be adapted for any emerging infectious disease?,The Identify-Isolate-Inform (3I) Tool,868,FALSE,"2019 Novel Coronavirus (2019-nCoV) is an emerging infectious disease closely related to MERS-CoV and SARS-CoV that was first reported in Wuhan City, Hubei Province, China in December 2019. As of January 2020, cases of 2019-nCoV are continuing to be reported in other Eastern Asian countries as well as in the United States, Europe, Australia, and numerous other countries. An unusually high volume of domestic and international travel corresponding to the beginning of the 2020 Chinese New Year complicated initial identification and containment of infected persons. Due to the rapidly rising number of cases and reported deaths, all countries should be considered at risk of imported 2019-nCoV. Therefore, it is essential for prehospital, clinic, and emergency department personnel to be able to rapidly assess 2019-nCoV risk and take immediate actions if indicated. The Identify-Isolate-Inform (3I) Tool, originally conceived for the initial detection and management of Ebola virus and later adjusted for other infectious agents, can be adapted for any emerging infectious disease. This paper reports a modification of the 3I Tool for use in the initial detection and management of patients under investigation for 2019-nCoV. After initial assessment for symptoms and epidemiological risk factors, including travel to affected areas and exposure to confirmed 2019-nCoV patients within 14 days, patients are classified in a risk-stratified system. Upon confirmation of a suspected 2019-nCoV case, affected persons must immediately be placed in airborne infection isolation and the appropriate public health agencies notified. This modified 3I Tool will assist emergency and primary care clinicians, as well as out-of-hospital providers, in effectively managing persons with suspected or confirmed 2019-nCoV."
When did the prospective interventional case series study was performed and 30 confirmed novel coronavirus pneumonia (NCP) patients were selected?,"from January 26, 2020 to February 9, 2020",343,FALSE,"OBJECTIVE: This study aimed to assess the presence of novel coronavirus in tears and conjunctival secretions of SARS-CoV-2 infected patients. METHODS: A prospective interventional case series study was performed, and 30 confirmed novel coronavirus pneumonia (NCP) patients were selected at the First Affiliated Hospital of Zhejiang University from January 26, 2020 to February 9, 2020. At an interval of 2-3 days, tear and conjunctival secretions were collected twice with disposable sampling swabs for reverse transcription polymerase chain reaction (RT-PCR) assay. RESULTS: 21 common type and 9 severe type NCP patients were enrolled. Two samples of tear and conjunctival secretions were obtained from the only one patient with conjunctivitis yielded positive RT-PCR results. 58 samples from other patents were all negative. CONCLUSION: We speculate that SARS-CoV-2 may be detected in the tears and conjunctival secretions in NCP patients with conjunctivitis. This article is protected by copyright. All rights reserved."
Where may SARS-CoV-2 be detected in NCP patients with conjunctivitis?,in the tears and conjunctival secretions,884,FALSE,"OBJECTIVE: This study aimed to assess the presence of novel coronavirus in tears and conjunctival secretions of SARS-CoV-2 infected patients. METHODS: A prospective interventional case series study was performed, and 30 confirmed novel coronavirus pneumonia (NCP) patients were selected at the First Affiliated Hospital of Zhejiang University from January 26, 2020 to February 9, 2020. At an interval of 2-3 days, tear and conjunctival secretions were collected twice with disposable sampling swabs for reverse transcription polymerase chain reaction (RT-PCR) assay. RESULTS: 21 common type and 9 severe type NCP patients were enrolled. Two samples of tear and conjunctival secretions were obtained from the only one patient with conjunctivitis yielded positive RT-PCR results. 58 samples from other patents were all negative. CONCLUSION: We speculate that SARS-CoV-2 may be detected in the tears and conjunctival secretions in NCP patients with conjunctivitis. This article is protected by copyright. All rights reserved."
Which city is once the top ranking city with respect to number of confirmed cases in Zhejiang province at the beginning of the epidemic?,Hangzhou,380,FALSE,"Current situation in Hangzhou Hangzhou, the capital of Zhejiang province in China, was confronted with the pandemic of a novel coronavirus (COVID-19) that originated in Wuhan, Hubei province1 . According to the Health Commission of Zhejiang Province, six cases was first reported on January 19, 2020, and the cumulative cases reached 169 as of February 20, 2020. The situation in Hangzhou was once rather severe as it was once the top ranking city with respect to number of confirmed cases in Zhejiang province at the beginning of the epidemic. Since Hangzhou government took rigorous measures to contain the epidemic, positive trends have been seen. The daily number of newly confirmed cases has sharply decreased within the last week and there was only one confirmed case from February 17 to 20. Similarly, another point to be emphasized was that Hangzhou reported no deaths in its administrative region. We used a regression of log-incidence over time model3 ,which could provide a fitted trajectory for the actual daily incidence to verify the control effect. As show in Fig.1, the optimal splitting point, which was defined as the peak in number of daily new cases simulated by the model, occurred on January 25. That date was just about a week after launching the highest level of emergency public health alert and response in Hangzhou, which indicates that the prevention and control measures may be effective"
